timestamp,ch1,ch2,ch3,ch4
1704067200000,2.345678,1.234567,3.456789,0.987654
1704067200100,2.356789,1.245678,3.467890,0.998765
1704067200200,2.367890,1.256789,3.478901,1.009876
1704067200300,2.378901,1.267890,3.489012,1.020987
1704067200400,2.389012,1.278901,3.490123,1.032098
1704067200500,2.390123,1.289012,3.501234,1.043209
1704067200600,2.401234,1.290123,3.512345,1.054320
1704067200700,2.412345,1.301234,3.523456,1.065431
1704067200800,2.423456,1.312345,3.534567,1.076542
1704067200900,2.434567,1.323456,3.545678,1.087653
1704067201000,2.445678,1.334567,3.556789,1.098764
1704067201100,2.456789,1.345678,3.567890,1.109875
1704067201200,2.467890,1.356789,3.578901,1.120986
1704067201300,2.478901,1.367890,3.589012,1.132097
1704067201400,2.489012,1.378901,3.590123,1.143208
1704067201500,2.490123,1.389012,3.601234,1.154319
1704067201600,2.501234,1.390123,3.612345,1.165430
1704067201700,2.512345,1.401234,3.623456,1.176541
1704067201800,2.523456,1.412345,3.634567,1.187652
1704067201900,2.534567,1.423456,3.645678,1.198763
1704067202000,2.545678,1.434567,3.656789,1.209874
1704067202100,2.556789,1.445678,3.667890,1.220985
1704067202200,2.567890,1.456789,3.678901,1.232096
1704067202300,2.578901,1.467890,3.689012,1.243207
1704067202400,2.589012,1.478901,3.690123,1.254318
1704067202500,2.590123,1.489012,3.701234,1.265429
1704067202600,2.601234,1.490123,3.712345,1.276540
1704067202700,2.612345,1.501234,3.723456,1.287651
1704067202800,2.623456,1.512345,3.734567,1.298762
1704067202900,2.634567,1.523456,3.745678,1.309873

